"AN";"PD";"CR";"LA";"BY";"IP";"RE";"CO";"NS";"KW";"WC";"HD"
"1";"AFNWS00020241220ekck000xi";2024-12-20;"Inter Press Service";"Anglais";"Michael Jarvis";"news | Washington DC";"africaz ";"";"gcat  genv  gsust ";"africaz   gcat  genv  gsust ";761;"Why Funders Must Step Up Financing for Development in 2025"
"2";"AFNWS00020241218ekci00108";2024-12-18;"Inter Press Service";"Anglais";"Richmond Acheampong";"Accra, Ghana | Ghana | news";"accra  africaz  dvpcoz  ghana  wafrz ";"";"gcat  gclimt  gdip  genv  gglobe  gpir  gsust ";"accra  africaz  dvpcoz  ghana  wafrz   gcat  gclimt  gdip  genv  gglobe  gpir  gsust ";1353;"The Climate Crisis As a Diplomatic Battlefield"
"3";"AFNWS00020241209ekc90010g";2024-12-09;"Inter Press Service";"Anglais";"Andrew Firmin";"London | news";"africaz  eurz  uk  weurz ";"";"ccat  cemis  cenvire  cesg  e11  ecat  gcat  gclimt  genv  gglobe ";"africaz  eurz  uk  weurz   ccat  cemis  cenvire  cesg  e11  ecat  gcat  gclimt  genv  gglobe ";1124;"COP29 Falls Short On Finance"
"4";"AFNWS00020241206ekc60000x";2024-12-06;"African Arguments";"Anglais";"Rishika Pardikar";"analysis";"africaz  eecz  eurz ";"";"e51  e512  ecat  gcat  gclimt  genv  gglobe ";"africaz  eecz  eurz   e51  e512  ecat  gcat  gclimt  genv  gglobe ";1013;"'Continuously Opposed' - Global South Vexed At What Went Unsaid At COP29"
"5";"AFNWS00020241128ekbs0012x";2024-11-28;"SAnews.gov.za";"Anglais";"";"news | South Africa";"africaz  devgcoz  dvpcoz  safr  souafrz ";"foodao  groptw  unscou ";"gcat  gcom  gdip  gfdsec  gpir  gpol ";"africaz  devgcoz  dvpcoz  safr  souafrz  foodao  groptw  unscou  gcat  gcom  gdip  gfdsec  gpir  gpol ";1077;"SA to Advocate for Transformative Policies During G20 Presidency"
"6";"AFNWS00020241125ekbp001bl";2024-11-25;"African Arguments";"Anglais";"View(s) From Africa";"column";"africaz  asiaz  azerb  baku  dvpcoz  wasiaz ";"";"gcat  gclimt  gdip  genv  gglobe  gpir ";"africaz  asiaz  azerb  baku  dvpcoz  wasiaz   gcat  gclimt  gdip  genv  gglobe  gpir ";2353;"View(s) From Africa - Verdicts On the 'Shameful' COP29 Climate Talks"
"7";"AFNWS00020241125ekbp000uo";2024-11-25;"Inter Press Service";"Anglais";"Joyce Chimbi";"Baku | news";"africaz  asiaz  azerb  baku  dvpcoz  wasiaz ";"unfcoc ";"gcat  gclimt  genv  gglobe ";"africaz  asiaz  azerb  baku  dvpcoz  wasiaz  unfcoc  gcat  gclimt  genv  gglobe ";1011;"Can Pay, Won't Pay - COP29 Outcome Far From Promised Historic Deal of a Lifetime"
"8";"AFNWS00020241125ekbp0003w";2024-11-25;"African Arguments";"Anglais";"James Wan";"analysis";"africaz  dvpcoz ";"";"gcat  gclimt  genv  gglobe ";"africaz  dvpcoz   gcat  gclimt  genv  gglobe ";1011;"COP29 - Outraged Climate Experts Call New $250bn Text a 'Slap in the Face'"
"9";"AFNWS00020241121ekbl000p6";2024-11-21;"Premium Times";"Anglais";"Abdulkareem Mojeed";"news | Nigeria";"africaz  asiaz  azerb  baku  dvpcoz  nigea  wafrz  wasiaz ";"";"gcat  gclimt  gdip  genv  gglobe  gpir ";"africaz  asiaz  azerb  baku  dvpcoz  nigea  wafrz  wasiaz   gcat  gclimt  gdip  genv  gglobe  gpir ";968;"COP29 - New Funding Proposal for Developing Countries Sparks Debate Amidst Huge Disparity"
"10";"AFNWS00020241119ekbj0000r";2024-11-19;"African Arguments";"Anglais";"John Okot";"analysis";"africaz  dvpcoz ";"";"gcat  gclimt  genv  gglobe ";"africaz  dvpcoz   gcat  gclimt  genv  gglobe ";1134;"'The Worst First Week of a COP' - Frustrations Rise As Week Two Begins"
