"codtop";"deftop";"n"
"1";"gcat";"Political/General News";256
"2";"gpir";"Politics/International Relations";120
"3";"gdip";"International Relations";76
"4";"genv";"Natural Environment";75
"5";"gglobe";"Global/World Issues";63
"6";"gpol";"Domestic Politics";60
"7";"gclimt";"Climate Change";53
"8";"ncat";"Content Types";51
"9";"ccat";"Corporate/Industrial News";46
"10";"ghea";"Health";43
"11";"nfact";"Factiva Filters";38
"12";"gcom";"Society/Community";37
"13";"gmed";"Medical Conditions";32
"14";"gspox";"Infectious Diseases";27
"15";"gout";"Outbreaks/Epidemics";24
"16";"gsoc";"Social Issues";23
"17";"gsust";"Sustainable Development/Sustainability";23
"18";"ecat";"Economic News";22
"19";"gcold";"Respiratory Tract Diseases";22
"20";"gsars";"Novel Coronaviruses";22
"21";"ghum";"Human Rights/Civil Liberties";19
"22";"c315";"Conferences/Exhibitions";17
"23";"grisk";"Risk News";16
"24";"gedu";"Education";14
"25";"genv";"Environmental News";14
"26";"nfcpin";"FC&E Industry News Filter";14
"27";"nfcpex";"C&E Executive News Filter";13
"28";"c31";"Marketing";12
"29";"gcom";"Society/Community/Work";12
"30";"gcrim";"Crime/Legal Action";12
"31";"gpov";"Poverty";12
"32";"e11";"Economic Performance/Indicators";10
"33";"gcns";"National/Public Security";10
"34";"gsci";"Sciences/Humanities";10
"35";"gtrea";"Medical Treatments/Procedures";10
"36";"nanl";"Analyses";9
"37";"redit";"Selection of Top Stories/Trends/Analysis";9
"38";"gimmu";"Immunizations";8
"39";"gsust";"Sustainable Development";8
"40";"gwori";"Gender Equality";8
"41";"c13";"Regulation/Government Policy";7
"42";"gent";"Arts/Entertainment";7
"43";"grel";"Religion";7
"44";"guni";"University/College";7
"45";"gvio";"Military Action";7
"46";"e51";"Trade/External Payments";6
"47";"gdis";"Disasters/Accidents";6
"48";"gplan";"Urban Planning/Development";6
"49";"nfcpin";"C&E Industry News Filter";6
"50";"reqr";"Suggested Reading – Industry News";6
