"codorg";"deforg";"n"
"1";"utdnat";"United Nations";40
"2";"ungass";"General Assembly of the United Nations";20
"3";"unscou";"United Nations Security Council";14
"4";"uocapt";"University of Cape Town";13
"5";"afriu";"African Union";12
"6";"groptw";"Group of 20";11
"7";"twban";"The World Bank";10
"8";"oxfami";"Oxfam International";8
"9";"imonf";"International Monetary Fund";7
"10";"tdnvpq";"United Nations Environment Programme";7
"11";"oecode";"Organisation for Economic Co-operation and Development";6
"12";"uncftr";"United Nations Conference on Trade and Development";6
"13";"unfcoc";"United Nations Framework Convention on Climate Change";6
"14";"bqljse";"BRICS";5
"15";"oblrve";"One Belt, One Road Initiative";5
"16";"whoz";"World Health Organization";5
"17";"wto";"World Trade Organization";5
"18";"afrdb";"African Development Bank Group";4
"19";"foodao";"Food and Agriculture Organization";4
"20";"ipocch";"Intergovernmental Panel on Climate Change";4
"21";"cgsatu";"Congress of South African Trade Unions";3
"22";"chraid";"Christian Aid";3
"23";"eccmwa";"Economic Community of West African States";3
"24";"euruno";"European Union";3
"25";"undepr";"United Nations Development Programme";3
"26";"wbgrup";"The World Bank Group";3
"27";"acnnig";"ActionAid Nigeria";2
"28";"amnsty";"Amnesty International";2
"29";"euruno";"The European Union";2
"30";"govgb";"Her Majesty's Government of the United Kingdom of Great Britain and Northern Ireland";2
"31";"govgb";"His Majesty's Government of the United Kingdom of Great Britain and Northern Ireland";2
"32";"gpeaci";"Greenpeace International";2
"33";"hrwny";"Human Rights Watch";2
"34";"iccou";"International Criminal Court";2
"35";"icjus";"International Court of Justice";2
"36";"ilaorg";"International Labour Organization";2
"37";"intfag";"International Fund for Agricultural Development";2
"38";"jawanu";"Jawaharlal Nehru University";2
"39";"jetind";"Jet Airways Ltd";2
"40";"lsoeap";"London School of Economics and Political Science";2
"41";"mdrthu";"Moderna Inc";2
"42";"nwdvbk";"New Development Bank BRICS";2
"43";"nyt";"The New York Times Company";2
"44";"onlnfr";"Meta Platforms Inc.";2
"45";"tuyojg";"The University of Johannesburg";2
"46";"";"";1
"47";"acec";"Umicore SA";1
"48";"actaid";"ActionAid International";1
"49";"adshfo";"AIDS Healthcare Foundation";1
"50";"afntcn";"African National Congress";1
"51";"akdgfu";"Aliko Dangote Foundation";1
"52";"amzcom";"Amazon.com, Inc.";1
"53";"applc";"Apple Inc.";1
"54";"artmfs";"Artemis SA";1
"55";"asiiot";"Asian Institute of Technology";1
"56";"bhuwch";"Beijing Bytedance Technology Company Limited";1
"57";"bimega";"Bill and Melinda Gates Foundation";1
"58";"brooit";"The Brookings Institution";1
"59";"byer";"Bayer AG";1
"60";"cgiar";"Consultative Group on International Agricultural Research";1
"61";"chpc";"China Petrochemical Corp";1
"62";"cinarb";"The Chartered Institute of Arbitrators";1
"63";"clcwki";"Climate Action Network-International";1
"64";"cncomr";"China Ministry of Commerce";1
"65";"cnfiid";"Confederation of Indian Industry";1
"66";"comnf";"Common Fund (Westport, CT)";1
"67";"conobd";"Convention on Biological Diversity";1
"68";"coueur";"Council of Europe";1
"69";"cpetc";"China Petroleum and Chemical Corp (Sinopec Corp)";1
"70";"cqhntv";"The Children's Institute";1
"71";"delcse";"Centre for Science and Environment";1
"72";"ecohr";"European Court of Human Rights";1
"73";"egmeaf";"Egypt Ministry of Environment";1
"74";"embpa";"Empresa Brasileira de Pesquisa Agropecuaria - Embrapa";1
"75";"euppto";"European Patent Office";1
"76";"eurcj";"Court of Justice of the European Union";1
"77";"exxn";"Exxon Mobil Corporation";1
"78";"fdp";"TotalEnergies SE";1
"79";"foodao";"Food and Agriculture Organization of the United Nations";1
"80";"forfou";"Ford Foundation";1
"81";"fotgso";"Focus on the Global South";1
"82";"fpinau";"Financiere Pinault SCA";1
"83";"frerth";"Friends of the Earth International";1
"84";"genfa";"Global Environment Facility";1
"85";"gilsci";"Gilead Sciences Inc";1
"86";"goog";"Alphabet Inc.";1
"87";"greght";"The Group of Eight";1
"88";"groptw";"Group of 2";1
"89";"gsven";"The Group of Seven";1
"90";"guttma";"Guttmacher Institute";1
"91";"haploy";"Hapag-Lloyd AG";1
"92";"hrbols";"Heinrich-Böll-Stiftung e.V.";1
"93";"hwmlcb";"BioNTech SE";1
"94";"icarar";"Build Africa";1
"95";"idsusu";"Institute of Development Studies at the University of Sussex";1
"96";"ifc";"International Finance Corp";1
"97";"iiedlo";"International Institute for Environment and Development";1
"98";"imawiq";"International Maize and Wheat Improvement Center";1
"99";"indeva";"International Development Association";1
"100";"inolco";"International Olympic Committee";1
"101";"intdrc";"International Development Research Centre";1
"102";"intth";"Thomson Reuters Corporation";1
"103";"isdvbk";"Islamic Development Bank";1
"104";"lastuy";"Lagos State University";1
"105";"march";"Glencore PLC";1
"106";"mcki";"McKinsey and Company Inc";1
"107";"mcrost";"Microsoft Corporation";1
"108";"nddb";"National Dairy Development Board";1
"109";"ngbrss";"Nigerian Bar Association";1
"110";"novsyn";"Syngenta AG";1
"111";"oasta";"Organization of American States";1
"112";"obserf";"Observer Research Foundation";1
"113";"onlnfr";"Facebook, Inc.";1
"114";"pfiz";"Pfizer Inc";1
"115";"plupre";"PLUTO PRESS";1
"116";"pmcubt";"Permanent Court of Arbitration";1
"117";"prntmp";"Kering SA";1
"118";"puma";"PUMA SE";1
"119";"rbmpsh";"Roll Back Malaria Partnership";1
"120";"reut";"Thomson Reuters Group Limited";1
"121";"rygwos";"The Royal Geographical Society (with the Institute of British Geographers)";1
"122";"sadcmy";"Southern African Development Community";1
"123";"sadfa";"South Africa Department of International Relations and Cooperation";1
"124";"souacn";"Southern African Customs Union";1
"125";"sptfts";"Spotify Technology SA";1
"126";"sptfum";"Spotify AB";1
"127";"tnqdfg";"United Nations Convention to Combat Desertification";1
"128";"trpnto";"Transparency International";1
"129";"twnit";"Twitter Inc.";1
"130";"twnit";"X Corporation";1
"131";"ubrib";"Uber International B.V.";1
"132";"ubrti";"Uber Technologies Inc.";1
"133";"umanch";"University of Manchester";1
"134";"unchld";"United Nations International Children's Emergency Fund";1
"135";"uncmit";"United Nations Commission on International Trade Law";1
"136";"uneceu";"United Nations Economic Commission for Europe";1
"137";"unesc";"United Nations Economic and Social Council";1
"138";"unescu";"United Nations Educational, Scientific and Cultural Organization";1
"139";"unglmp";"United Nations Global Compact";1
"140";"unhrc";"United Nations Human Rights Council";1
"141";"unocha";"United Nations Office for the Coordination of Humanitarian Affairs";1
"142";"unpopf";"United Nations Population Fund";1
"143";"untrre";"United Nations Institute for Training and Research";1
"144";"unuivs";"United Nations University";1
"145";"unvolu";"United Nations Volunteers";1
"146";"unwomn";"United Nations Entity for Gender Equality and the Empowerment of Women";1
"147";"uscong";"United States Congress";1
"148";"usdhhs";"United States Department of Health and Human Services";1
"149";"uyosha";"University of South Africa";1
"150";"wagrfc";"World Agroforestry Centre";1
